"planning unit","number","available","partial","reserved"
5492,10,9,0,1
5491,10,10,0,0
5490,10,10,0,0
5489,10,10,0,0
5488,10,10,0,0
5487,10,10,0,0
5486,10,10,0,0
5485,10,10,0,0
5484,10,10,0,0
5483,10,10,0,0
5482,10,10,0,0
5481,10,10,0,0
5480,10,10,0,0
5479,10,10,0,0
5478,10,10,0,0
5477,10,10,0,0
5476,10,10,0,0
5475,10,10,0,0
5474,10,10,0,0
5473,10,10,0,0
5472,10,10,0,0
5471,10,10,0,0
5470,10,10,0,0
5469,10,10,0,0
5468,10,10,0,0
5467,10,10,0,0
5466,10,10,0,0
5465,10,10,0,0
5464,10,10,0,0
5463,10,10,0,0
5462,10,10,0,0
5461,10,10,0,0
5460,10,10,0,0
5459,10,10,0,0
5458,10,10,0,0
5457,10,10,0,0
5456,10,10,0,0
5455,10,9,0,1
5454,10,8,0,2
5453,10,10,0,0
5452,10,10,0,0
5451,10,8,0,2
5450,10,10,0,0
5449,10,9,0,1
5448,10,9,0,1
5447,10,7,1,2
5446,10,9,0,1
5445,10,8,0,2
5444,10,6,0,4
5443,10,7,1,2
5442,10,5,1,4
5441,10,9,0,1
5440,10,7,1,2
5439,10,8,1,1
5438,10,10,0,0
5437,10,10,0,0
5430,10,7,0,3
5429,10,10,0,0
5428,10,6,0,4
5427,10,4,2,4
5426,10,5,5,0
5425,10,7,1,2
5424,10,6,0,4
5423,10,9,0,1
5422,10,10,0,0
5421,10,10,0,0
5420,10,10,0,0
5419,10,10,0,0
5418,10,10,0,0
5417,10,10,0,0
5416,10,10,0,0
5415,10,10,0,0
5414,10,10,0,0
5413,10,10,0,0
5412,10,10,0,0
5411,10,10,0,0
5410,10,10,0,0
5409,10,10,0,0
5408,10,10,0,0
5407,10,10,0,0
5406,10,10,0,0
5405,10,9,0,1
5404,10,10,0,0
5403,10,9,0,1
5402,10,10,0,0
5401,10,10,0,0
5400,10,10,0,0
5399,10,10,0,0
5398,10,10,0,0
5397,10,10,0,0
5396,10,10,0,0
5395,10,10,0,0
5394,10,10,0,0
5393,10,10,0,0
5392,10,10,0,0
5391,10,10,0,0
5390,10,10,0,0
5389,10,10,0,0
5388,10,10,0,0
5387,10,10,0,0
5386,10,10,0,0
5385,10,10,0,0
5384,10,10,0,0
5383,10,10,0,0
5382,10,10,0,0
5381,10,10,0,0
5380,10,10,0,0
5379,10,10,0,0
5378,10,10,0,0
5377,10,10,0,0
5376,10,9,0,1
5375,10,10,0,0
5374,10,9,0,1
5373,10,8,0,2
5372,10,7,0,3
5371,10,8,0,2
5370,10,8,1,1
5369,10,8,1,1
5368,10,7,0,3
5367,10,7,0,3
5366,10,5,1,4
5365,10,8,1,1
5364,10,10,0,0
5363,10,9,0,1
5362,10,10,0,0
5361,10,10,0,0
5360,10,10,0,0
5359,10,10,0,0
5350,10,3,2,5
5349,10,2,2,6
5348,10,7,0,3
5347,10,6,1,3
5346,10,10,0,0
5345,10,9,1,0
5344,10,10,0,0
5343,10,10,0,0
5342,10,10,0,0
5341,10,10,0,0
5340,10,10,0,0
5339,10,10,0,0
5338,10,10,0,0
5337,10,10,0,0
5336,10,10,0,0
5335,10,10,0,0
5334,10,10,0,0
5333,10,10,0,0
5332,10,10,0,0
5331,10,10,0,0
5330,10,10,0,0
5329,10,9,0,1
5328,10,10,0,0
5327,10,9,1,0
5326,10,10,0,0
5325,10,10,0,0
5324,10,10,0,0
5323,10,8,1,1
5322,10,10,0,0
5321,10,10,0,0
5320,10,10,0,0
5319,10,10,0,0
5318,10,10,0,0
5317,10,10,0,0
5316,10,10,0,0
5315,10,10,0,0
5314,10,10,0,0
5313,10,10,0,0
5312,10,10,0,0
5311,10,10,0,0
5310,10,10,0,0
5309,10,10,0,0
5308,10,10,0,0
5307,10,10,0,0
5306,10,10,0,0
5305,10,10,0,0
5304,10,10,0,0
5303,10,10,0,0
5302,10,10,0,0
5301,10,10,0,0
5300,10,10,0,0
5299,10,10,0,0
5298,10,10,0,0
5297,10,10,0,0
5296,10,10,0,0
5295,10,10,0,0
5294,10,10,0,0
5293,10,10,0,0
5292,10,10,0,0
5291,10,10,0,0
5290,10,10,0,0
5289,10,9,0,1
5288,10,10,0,0
