planning.unit,number,available,partial,reserved
5426,100,50,19,31
5425,100,75,10,15
5424,100,70,2,28
5423,100,92,2,6
5422,100,100,0,0
5421,100,100,0,0
5420,100,100,0,0
5419,100,100,0,0
5418,100,100,0,0
5417,100,100,0,0
5416,100,100,0,0
5415,100,100,0,0
5414,100,100,0,0
5413,100,100,0,0
5412,100,100,0,0
5411,100,100,0,0
5410,100,99,0,1
5409,100,100,0,0
5408,100,98,2,0
5407,100,100,0,0
5406,100,100,0,0
5405,100,98,0,2
5404,100,100,0,0
5403,100,98,0,2
5402,100,100,0,0
5401,100,100,0,0
5400,100,100,0,0
5399,100,100,0,0
5398,100,100,0,0
5397,100,100,0,0
5396,100,100,0,0
5395,100,100,0,0
5394,100,100,0,0
5393,100,100,0,0
5392,100,100,0,0
5391,100,100,0,0
5390,100,100,0,0
5389,100,100,0,0
5388,100,100,0,0
5387,100,100,0,0
5386,100,100,0,0
5385,100,100,0,0
5384,100,100,0,0
5383,100,100,0,0
5382,100,100,0,0
5381,100,100,0,0
5380,100,100,0,0
5379,100,100,0,0
5378,100,100,0,0
5377,100,100,0,0
5376,100,95,0,5
5375,100,93,0,7
5374,100,96,0,4
5373,100,81,0,19
5372,100,88,0,12
5371,100,80,3,17
5370,100,80,4,16
5369,100,82,4,14
5368,100,60,7,33
5367,100,55,10,35
5366,100,39,17,44
5365,100,89,2,9
5364,100,100,0,0
5363,100,77,0,23
5362,100,85,0,15
5361,100,94,0,6
5360,100,100,0,0
5359,100,100,0,0
5350,100,51,10,39
5349,100,39,17,44
5348,100,46,16,38
5347,100,70,14,16
5346,100,89,5,6
5345,100,98,1,1
5344,100,100,0,0
5343,100,100,0,0
5342,100,100,0,0
5341,100,100,0,0
5340,100,100,0,0
5339,100,100,0,0
5338,100,100,0,0
5337,100,100,0,0
5336,100,100,0,0
5335,100,100,0,0
5334,100,100,0,0
5333,100,100,0,0
5332,100,100,0,0
5331,100,97,0,3
5330,100,98,0,2
5329,100,96,0,4
5328,100,98,0,2
5327,100,96,1,3
5326,100,86,12,2
5325,100,100,0,0
5324,100,100,0,0
5323,100,95,2,3
5322,100,100,0,0
5321,100,100,0,0
5320,100,100,0,0
5319,100,100,0,0
5318,100,100,0,0
5317,100,100,0,0
5316,100,100,0,0
5315,100,100,0,0
5314,100,100,0,0
5313,100,100,0,0
5312,100,100,0,0
5311,100,100,0,0
5310,100,100,0,0
5309,100,100,0,0
5308,100,100,0,0
5307,100,100,0,0
5306,100,100,0,0
5305,100,100,0,0
5304,100,100,0,0
5303,100,100,0,0
5302,100,100,0,0
5301,100,100,0,0
5300,100,100,0,0
5299,100,100,0,0
5298,100,100,0,0
5297,100,100,0,0
5296,100,100,0,0
5295,100,100,0,0
5294,100,100,0,0
5293,100,100,0,0
5292,100,100,0,0
5291,100,100,0,0
5290,100,100,0,0
5289,100,88,1,11
5288,100,86,2,12
5287,100,89,0,11
5286,100,86,0,14
5285,100,82,0,18
5284,100,74,3,23
5283,100,90,1,9
5282,100,52,7,41
5281,100,48,14,38
5280,100,64,8,28
5279,100,69,6,25
5278,100,95,0,5
5277,100,100,0,0
5276,100,100,0,0
5275,100,100,0,0
5274,100,100,0,0
5273,100,100,0,0
5263,100,45,11,44
5262,100,33,16,51
5261,100,50,18,32
5260,100,71,17,12
5259,100,77,15,8
5258,100,100,0,0
5257,100,100,0,0
5256,100,100,0,0
5255,100,100,0,0
5254,100,100,0,0
5253,100,100,0,0
5252,100,100,0,0
5251,100,100,0,0
5250,100,100,0,0
5249,100,100,0,0
5248,100,100,0,0
5247,100,100,0,0
5246,100,100,0,0
5245,100,100,0,0
5244,100,99,0,1
5243,100,94,0,6
5242,100,92,7,1
5241,100,86,9,5
5240,100,64,1,35
5239,100,83,0,17
5238,100,75,13,12
5237,100,86,2,12
5236,100,81,0,19
5235,100,78,2,20
5234,100,62,6,32
5233,100,83,1,16
5232,100,98,0,2
5231,100,100,0,0
5230,100,100,0,0
5229,100,100,0,0
5228,100,100,0,0
5227,100,100,0,0
5226,100,100,0,0
5225,100,100,0,0
5224,100,100,0,0
5223,100,100,0,0
5222,100,100,0,0
5221,100,100,0,0
5220,100,100,0,0
5219,100,100,0,0
5218,100,100,0,0
5217,100,100,0,0
5216,100,100,0,0
5215,100,100,0,0
5214,100,100,0,0
5213,100,100,0,0
5212,100,100,0,0
5211,100,100,0,0
5210,100,100,0,0
5209,100,100,0,0
5208,100,100,0,0
5207,100,100,0,0
5206,100,100,0,0
5205,100,100,0,0
5204,100,100,0,0
5203,100,100,0,0
5202,100,100,0,0
5201,100,100,0,0
5200,100,100,0,0
5199,100,100,0,0
5198,100,100,0,0
5197,100,100,0,0
5196,100,100,0,0
5195,100,100,0,0
5194,100,100,0,0
5193,100,100,0,0
5192,100,100,0,0
5191,100,92,0,8
5190,100,90,0,10
5189,100,77,0,23
